Name
Aloe vera
Areca Palm
Arrowhead Plant
Buddhist Pine
Cactus
Cape fuchsia Cherry Ripe
Cape Jasmine
Chrysanthemum/Florist's daisy
Coral Berry
Crown of Thorns
English Ivy
Flamingo Flower
Golden Pothos
House Leek
Jade Plant
Jasmine
Lily of the Valley
Lucky Bamboo
Marble Queen Pothos
Mini Monstera
Miniature Wax Plant
Monstera Adonsonii
Monstera Deliciosa
Parlor Palm
Peace Lily
Peacock Calathea
Peppermint
Poinsettia
Prayer Plant
Rabbit's Foot Fern
Rattlesnake Calathea
Rosemary
Rubber Plant
Sago Palm
Snake Plant
Succulent
Sweet Alyssum
Ti Plant
Touch Me Not
Transvaal daisy
Umbrella Plant
Wandering Jew
Wax Plant Begonia
Weeping Fig
Zebra Calathea
ZZ plant
